abbreviation	officialName	equation	geneAssociation	proteinClass	ecocyc-rxn-ids	analysis	notes			
ZN2abcpp	Zinc (Zn+2) ABC transporter (periplasm)	atp[c] + h2o[c] + zn2[c] --> adp[c] + h[c] + pi[c] + zn2[p]	b3469		(3.6.3.5-RXN)	(:METACYC (RIGHT REMOVE PROTON))				
MTRK	5-methylthioribose kinase	[c] : 5mtr + atp --> 5mdr1p + adp + h		2.7.1.100	(5-METHYLTHIORIBOSE-KINASE-RXN)	(:METACYC (RIGHT REMOVE PROTON))				
ADNK1	adenosine kinase	[c] : adn + atp --> adp + amp + h	b0474	2.7.1.20	(ADENOSINE-KINASE-RXN)	(:METACYC (RIGHT REMOVE PROTON))				
NTPP6	Nucleoside triphosphate pyrophosphorylase (atp)	[c] : atp + h2o --> amp + h + ppi	b2781		(ATP-PYROPHOSPHATASE-RXN)	(:METACYC (RIGHT REMOVE PROTON))				
FACOAE160	fatty-acid-CoA thioesterase (hexadecanoate)	[c] : h2o + pmtcoa --> coa + h + hdca	b0452		(PALMITOYL-COA-HYDROLASE-RXN)	(:METACYC (RIGHT REMOVE PROTON))				
ATPM	ATP maintenance requirement	[c] : atp + h2o --> adp + h + pi			(RXN0-1061 3.6.3.1-RXN 3.6.3.15-RXN 3.6.3.46-RXN 3.6.3.49-RXN 3.6.3.50-RXN 3.6.3.51-RXN 3.6.3.52-RXN 3.6.4.1-RXN 3.6.4.2-RXN 3.6.4.3-RXN 3.6.4.4-RXN 3.6.4.5-RXN 3.6.4.6-RXN 3.6.4.7-RXN 3.6.4.8-RXN 3.6.4.9-RXN 3.6.4.11-RXN ADENOSINETRIPHOSPHATASE-RXN)	(:METACYC (RIGHT REMOVE PROTON))				
NTP1	nucleoside-triphosphatase (ATP)	[c] : atp + h2o --> adp + h + pi	( b0650  or  b4161 )	3.6.1.15	(RXN0-1061 3.6.3.1-RXN 3.6.3.15-RXN 3.6.3.46-RXN 3.6.3.49-RXN 3.6.3.50-RXN 3.6.3.51-RXN 3.6.3.52-RXN 3.6.4.1-RXN 3.6.4.2-RXN 3.6.4.3-RXN 3.6.4.4-RXN 3.6.4.5-RXN 3.6.4.6-RXN 3.6.4.7-RXN 3.6.4.8-RXN 3.6.4.9-RXN 3.6.4.11-RXN ADENOSINETRIPHOSPHATASE-RXN)	(:METACYC (RIGHT REMOVE PROTON))				
ALDD2x	"aldehyde dehydrogenase (acetaldehyde, NAD)"	[c] : acald + h2o + nad --> ac + (2) h + nadh	b1300	1.2.1.3	(RXN66-3)	(:METACYC (RIGHT REMOVE PROTON))				
PPA2	inorganic triphosphatase	[c] : h2o + pppi --> h + pi + ppi	( b2744  or  b2502 )	3.6.1.1	(TRIPHOSPHATASE-RXN)	(:METACYC (RIGHT REMOVE PROTON))				
HACD1i	3-hydroxyacyl-CoA dehydrogenase (acetoacetyl-CoA)	[c] : 3hbcoa + nad --> aacoa + h + nadh	( b3846  or  b2341 )	1.1.1.35	(1.1.1.211-RXN OHACYL-COA-DEHYDROG-RXN)	(:METACYC :EXPANDED-RXN-MATCH (RIGHT REMOVE PROTON))				
FACOAE100	fatty-acid-CoA thioesterase (decanoate)	[c] : dcacoa + h2o --> coa + dca + h	b0452		(3.1.2.18-RXN 3.1.2.19-RXN ACYL-COA-HYDROLASE-RXN THIOESTER-RXN)	(:METACYC :EXPANDED-RXN-MATCH (RIGHT REMOVE PROTON))				
FACOAE140	fatty-acid-CoA thioesterase (tetradecanoate)	[c] : h2o + tdcoa --> coa + h + ttdca	b0452		(3.1.2.18-RXN 3.1.2.19-RXN ACYL-COA-HYDROLASE-RXN THIOESTER-RXN)	(:METACYC :EXPANDED-RXN-MATCH (RIGHT REMOVE PROTON))				
SPMDAT1	Spermidine acetyltransferase	[c] : accoa + spmd --> N1aspmd + coa + h	b1584	2.3.1.57	(DIAMACTRANS-RXN)	(:METACYC :EXPANDED-RXN-MATCH (RIGHT REMOVE PROTON))				
SPMDAT2	Spermidine acetyltransferase (N8)	[c] : accoa + spmd --> coa + h + n8aspmd	b1584	2.3.1.57	(DIAMACTRANS-RXN)	(:METACYC :EXPANDED-RXN-MATCH (RIGHT REMOVE PROTON))				
FA100ACPHi	fatty-acyl-ACP hydrolase	[c] : dcaACP + h2o --> ACP + dca + h	b0404	3.1.2.14	(RXN-7902)	(:METACYC :EXPANDED-RXN-MATCH (RIGHT REMOVE PROTON))				
FA120ACPHi	fatty-acyl-ACP hydrolase	[c] : ddcaACP + h2o --> ACP + ddca + h	b0404	3.1.2.14	(RXN-7902)	(:METACYC :EXPANDED-RXN-MATCH (RIGHT REMOVE PROTON))				
FA140ACPHi	fatty-acyl-ACP hydrolase	[c] : h2o + myrsACP --> ACP + h + ttdca	b0404	3.1.2.14	(RXN-7902)	(:METACYC :EXPANDED-RXN-MATCH (RIGHT REMOVE PROTON))				
FA160ACPHi	fatty-acyl-ACP hydrolase	[c] : h2o + palmACP --> ACP + h + hdca	b0404	3.1.2.14	(RXN-7902)	(:METACYC :EXPANDED-RXN-MATCH (RIGHT REMOVE PROTON))				
FA161ACPHi	fatty-acyl-ACP hydrolase	[c] : h2o + hdeACP --> ACP + h + hdcea	b0404	3.1.2.14	(RXN-7902)	(:METACYC :EXPANDED-RXN-MATCH (RIGHT REMOVE PROTON))				
URIDK2r	uridylate kinase (dUMP)	[c] : atp + dump <==> adp + dudp	b0171		(|(DEOXY)NUCLEOSIDE-PHOSPHATE-KINASE-RXN|)	(:METACYC :EXPANDED-RXN-MATCH)				
AACPS1	acyl-[acyl-carrier-protein] synthetase (n-C14:0)	[c] : ACP + atp + ttdca --> amp + myrsACP + ppi	( b2836  and  b1094 )	6.2.1.20	(ACYLACPSYNTH-RXN)	(:METACYC :EXPANDED-RXN-MATCH)				
AACPS5	acyl-[acyl-carrier-protein] synthetase  (n-C18:1)	[c] : ACP + atp + ocdcea --> amp + octeACP + ppi	( b2836  and  b1094 )	6.2.1.20	(ACYLACPSYNTH-RXN)	(:METACYC :EXPANDED-RXN-MATCH)				
AACPS6	acyl-[acyl-carrier-protein] synthetase  (n-C18:0)	[c] : ACP + atp + ocdca --> amp + ocdcaACP + ppi	( b2836  and  b1094 )	6.2.1.20	(ACYLACPSYNTH-RXN)	(:METACYC :EXPANDED-RXN-MATCH)				
AACPS7	acyl-[acyl-carrier-protein] synthetase  (n-C12:0)	[c] : ACP + atp + ddca --> amp + ddcaACP + ppi	( b2836  and  b1094 )	6.2.1.20	(ACYLACPSYNTH-RXN)	(:METACYC :EXPANDED-RXN-MATCH)				
AACPS8	acyl-[acyl-carrier-protein] synthetase  (n-C10:0)	[c] : ACP + atp + dca --> amp + dcaACP + ppi	( b2836  and  b1094 )	6.2.1.20	(ACYLACPSYNTH-RXN)	(:METACYC :EXPANDED-RXN-MATCH)				
ACOAD6f	acyl-CoA dehydrogenase (tetradecanoyl-CoA)	[c] : fad + tdcoa <==> fadh2 + td2coa	b0221	1.3.99.3	(ACYLCOADEHYDROG-RXN)	(:METACYC :EXPANDED-RXN-MATCH)				
ECOAH5	3-hydroxyacyl-CoA dehydratase (3-hydroxydodecanoyl-CoA)	[c] : 3hddcoa <==> dd2coa + h2o	( b3846  or  b2341 )	4.2.1.17	(ENOYL-COA-HYDRAT-RXN)	(:METACYC :EXPANDED-RXN-MATCH)				
NTD1	5'-nucleotidase (dUMP)	[c] : dump + h2o --> duri + pi	( b2291  or  b2744  or  b4374 )	3.1.3.5	(NUCLEOTIDASE-RXN)	(:METACYC :EXPANDED-RXN-MATCH)				
NTD3	5'-nucleotidase (dCMP)	[c] : dcmp + h2o --> dcyt + pi	( b2291  or  b2744 )	3.1.3.5	(NUCLEOTIDASE-RXN)	(:METACYC :EXPANDED-RXN-MATCH)				
NTD6	5'-nucleotidase (dAMP)	[c] : damp + h2o --> dad-2 + pi	( b2291  or  b2744 )	3.1.3.5	(NUCLEOTIDASE-RXN)	(:METACYC :EXPANDED-RXN-MATCH)				
NTD8	5'-nucleotidase (dGMP)	[c] : dgmp + h2o --> dgsn + pi	( b2291  or  b2744 )	3.1.3.5	(NUCLEOTIDASE-RXN)	(:METACYC :EXPANDED-RXN-MATCH)				
DADK	deoxyadenylate kinase	[c] : atp + damp <==> adp + dadp	b0474	2.7.4.11	(|(DEOXY)ADENYLATE-KINASE-RXN|)	(:METACYC)				
BPNT	"3',5'-bisphosphate nucleotidase"	[c] : h2o + pap --> amp + pi		3.1.3.7	"(|3'(2'),5'-BISPHOSPHATE-NUCLEOTIDASE-RXN|)"	(:METACYC)				
NTD5	5'-nucleotidase (dTMP)	[c] : dtmp + h2o --> pi + thymd	( b2291  or  b2744  or  b4374 )	3.1.3.5	(|THYMIDYLATE-5'-PHOSPHATASE-RXN|)	(:METACYC)				
MALDDH	malate decarboxylating oxidoreductase (decarboxylating)	[c] : mal-D + nad --> co2 + nadh + pyr	b1800	1.1.1.83	(1.1.1.83-RXN)	(:METACYC)				
KAT7	3-ketoacyl-CoA thiolase	[c] : 3ohdcoa + coa --> accoa + tdcoa	( b3845  or  b2342 )	2.3.1.16	(2.3.1.155-RXN)	(:METACYC)				
FFSD	beta-fructofuranosidase	[c] : h2o + suc6p --> fru + g6p		3.2.1.26	(3.2.1.26-RXN)	(:METACYC)				
MTRI	5-methylthioribose-1-phosphate isomerase	[c] : 5mdr1p <==> 5mdru1p		5.3.1.23	(5.3.1.23-RXN)	(:METACYC)				
XYLI2	xylose isomerase	[c] : glc-D <==> fru	b3565	5.3.1.5	(GLUCISOM-RXN)	(:METACYC)				
G3PT	glycerol-3-phosphatase	[c] : glyc3p + h2o --> glyc + pi	b0822		(GLYCEROL-1-PHOSPHATASE-RXN)	(:METACYC)				
MLTG2	Maltodextrin glucosidase (maltotetraose)	[c] : h2o + maltttr --> glc-D + malttr	b0403		(MALTET-RXN)	(:METACYC)				
MTAN	methylthioadenosine nucleosidase	[c] : 5mta + h2o --> 5mtr + ade	b0159	3.2.2.16	(METHYLTHIOADENOSINE-NUCLEOSIDASE-RXN)	(:METACYC)				
OXAMTC	oxamate transcarbamoylase	[c] : oxur + pi --> cbp + oxam		2.1.3.5	(OXAMATE-CARBAMOYLTRANSFERASE-RXN)	(:METACYC)				
PAPA120	Phosphatidate phosphatase (n-C12:0)	[c] : h2o + pa120 --> 12dgr120 + pi	b1278	3.1.3.4	(PHOSPHATIDATE-PHOSPHATASE-RXN)	(:METACYC)				
PAPA140	Phosphatidate phosphatase (n-C14:0)	[c] : h2o + pa140 --> 12dgr140 + pi	b1278	3.1.3.4	(PHOSPHATIDATE-PHOSPHATASE-RXN)	(:METACYC)				
PAPA141	Phosphatidate phosphatase (n-C14:1)	[c] : h2o + pa141 --> 12dgr141 + pi	b1278	3.1.3.4	(PHOSPHATIDATE-PHOSPHATASE-RXN)	(:METACYC)				
PAPA160	Phosphatidate phosphatase (n-C16:0)	[c] : h2o + pa160 --> 12dgr160 + pi	b1278	3.1.3.4	(PHOSPHATIDATE-PHOSPHATASE-RXN)	(:METACYC)				
PAPA161	Phosphatidate phosphatase (n-C16:1)	[c] : h2o + pa161 --> 12dgr161 + pi	b1278	3.1.3.4	(PHOSPHATIDATE-PHOSPHATASE-RXN)	(:METACYC)				
PAPA180	Phosphatidate phosphatase (n-C18:0)	[c] : h2o + pa180 --> 12dgr180 + pi	b1278	3.1.3.4	(PHOSPHATIDATE-PHOSPHATASE-RXN)	(:METACYC)				
PAPA181	Phosphatidate phosphatase (n-C18:1)	[c] : h2o + pa181 --> 12dgr181 + pi	b1278	3.1.3.4	(PHOSPHATIDATE-PHOSPHATASE-RXN)	(:METACYC)				
ACCOAL	acetate-CoA ligase (ADP-forming)	[c] : atp + coa + ppa --> adp + pi + ppcoa	b0335	6.2.1.13	(PROPANOATECOA-LIGASE-RXN)	(:METACYC)				
BUTCT	Acetyl-CoA:butyrate-CoA transferase	[c] : accoa + but --> ac + btcoa	( b2221  and  b2222 )	2.8.3.8	(R11-RXN)	(:METACYC)				
MDRPD	5-Methylthio-5-deoxy-D-ribulose 1-phosphate dehydratase	[c] : 5mdru1p --> dkmpp + h2o			(R145-RXN)	(:METACYC)				
RHCCE	S-ribosylhomocysteine cleavage enzyme	[c] : rhcys --> dhptd + hcys-L	b2687		(RIBOSYLHOMOCYSTEINASE-RXN)	(:METACYC)				
MI1PP	myo-inositol 1-phosphatase	[c] : h2o + mi1p-D --> inost + pi	b2533	3.1.3.25	(RXN-7252)	(:METACYC)				
HXAND	hypoxanthine dehydrogenase	[c] : h2o + hxan + nad --> h + nadh + xan	( b2866  and  b2867  and  b2868 )		(RXN-7682)	(:METACYC)				
CYTK2	cytidylate kinase (dCMP)	[c] : atp + dcmp <==> adp + dcdp	b0910	2.7.4.14	(RXN-7913)	(:METACYC)				
MDH3	Malate dehydrogenase (menaquinone 8 as acceptor)	[c] : mal-L + mqn8 --> mql8 + oaa	b2210	1.1.99.16	(RXNI-3)	(:METACYC)				
SARCOX	sarcosine oxidase	[c] : h2o + o2 + sarcs --> fald + gly + h2o2	b1059	1.5.3.1	(SARCOX-RXN)	(:METACYC)				
THRAi	Threonine aldolase	[c] : thr-L --> acald + gly	( b2551  or  b0870 )	4.1.2.5	(THREONINE-ALDOLASE-RXN)	(:METACYC)				
NTD10	5'-nucleotidase (XMP)	[c] : h2o + xmp --> pi + xtsn	b2744	3.1.3.5	(XMPXAN-RXN)	(:METACYC)				
12PPDRtex	"(R)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)"	12ppd-R[e] <==> 12ppd-R[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:UNMAPPED-CPDS)				
12PPDRtpp	"(R)-Propane-1,2-diol facilitated transport (periplasm)"	12ppd-R[p] <==> 12ppd-R[c]				(:UNMAPPED-CPDS)				
2AGPA120tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C12:0) transporter via facilitated diffusion (periplasm)	2ddecg3p[p] --> 2ddecg3p[c]	b2835			(:UNMAPPED-CPDS)				
2AGPA140tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C14:0) transporter via facilitated diffusion (periplasm)	2tdecg3p[p] --> 2tdecg3p[c]	b2835			(:UNMAPPED-CPDS)				
2AGPA141tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C14:1) transporter via facilitated diffusion (periplasm)	2tdec7eg3p[p] --> 2tdec7eg3p[c]	b2835			(:UNMAPPED-CPDS)				
2AGPA160tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C16:0) transporter via facilitated diffusion (periplasm)	2hdecg3p[p] --> 2hdecg3p[c]	b2835			(:UNMAPPED-CPDS)				
2AGPA161tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C16:1) transporter via facilitated diffusion (periplasm)	2hdec9eg3p[p] --> 2hdec9eg3p[c]	b2835			(:UNMAPPED-CPDS)				
2AGPA180tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C18:0) transporter via facilitated diffusion (periplasm)	2odecg3p[p] --> 2odecg3p[c]	b2835			(:UNMAPPED-CPDS)				
2AGPA181tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C18:1) transporter via facilitated diffusion (periplasm)	2odec11eg3p[p] --> 2odec11eg3p[c]	b2835			(:UNMAPPED-CPDS)				
2AGPEAT141	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:1)	[c] : 2agpe141 + atp + ttdcea --> amp + pe141 + ppi	b2836	2.3.1.40		(:UNMAPPED-CPDS)				
2AGPG120tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0) transporter via facilitated diffusion (periplasm)	2agpg120[p] --> 2agpg120[c]	b2835			(:UNMAPPED-CPDS)				
2AGPG140tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0) transporter via facilitated diffusion (periplasm)	2agpg140[p] --> 2agpg140[c]	b2835			(:UNMAPPED-CPDS)				
2AGPG141tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1) transporter via facilitated diffusion (periplasm)	2agpg141[p] --> 2agpg141[c]	b2835			(:UNMAPPED-CPDS)				
2AGPG180tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0) transporter via facilitated diffusion (periplasm)	2agpg180[p] --> 2agpg180[c]	b2835			(:UNMAPPED-CPDS)				
2AGPG181tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1) transporter via facilitated diffusion (periplasm)	2agpg181[p] --> 2agpg181[c]	b2835			(:UNMAPPED-CPDS)				
2AGPGAT120	2-acyl-glycerophospho-glycerol acyltransferase (n-C12:0)	[c] : 2agpg120 + atp + ddca --> amp + pg120 + ppi	b2836	2.3.1.40		(:UNMAPPED-CPDS)				
2AGPGAT140	2-acyl-glycerophospho-glycerol acyltransferase (n-C14:0)	[c] : 2agpg140 + atp + ttdca --> amp + pg140 + ppi	b2836	2.3.1.40		(:UNMAPPED-CPDS)				
2AGPGAT141	2-acyl-glycerophospho-glycerol acyltransferase (n-C14:1)	[c] : 2agpg141 + atp + ttdcea --> amp + pg141 + ppi	b2836	2.3.1.40		(:UNMAPPED-CPDS)				
2AGPGAT180	2-acyl-glycerophospho-glycerol acyltransferase (n-C18:0)	[c] : 2agpg180 + atp + ocdca --> amp + pg180 + ppi	b2836	2.3.1.40		(:UNMAPPED-CPDS)				
2AGPGAT181	2-acyl-glycerophospho-glycerol acyltransferase (n-C18:1)	[c] : 2agpg181 + atp + ocdcea --> amp + pg181 + ppi	b2836	2.3.1.40		(:UNMAPPED-CPDS)				
3HCINNMH	3-hydroxycinnamate hydroxylase	[c] : 3hcinnm + h + nadh + o2 --> dhcinnm + h2o + nad	b0347			(:UNMAPPED-CPDS)				
4HTHRS	4-Hydroxy-L-threonine synthase	[c] : h2o + phthr --> 4hthr + pi	b0004			(:UNMAPPED-CPDS)				
4PCP	"tetrapeptide L,D-carboxypeptidase"	[c] : LalaDgluMdapDala + h2o --> LalaDgluMdap + ala-D	b1192			(:UNMAPPED-CPDS)				
4PCPpp	"tetrapeptide L,D-carboxypeptidase (periplasm)"	[p] : LalaDgluMdapDala + h2o --> LalaDgluMdap + ala-D				(:UNMAPPED-CPDS)				
4PEPTabcpp	tetrapeptide (LalaDgluMdapDala) transport via ABC system (periplasm)	LalaDgluMdapDala[p] + atp[c] + h2o[c] --> LalaDgluMdapDala[c] + adp[c] + h[c] + pi[c]	( b1243  and  b1244  and  b1245  and  b1246  and  b1247 )			(:UNMAPPED-CPDS)				
4PEPTtex	LalaDgluMdapDala (pentapeptide) transport via diffusion (extracellular to periplasm)	LalaDgluMdapDala[e] <==> LalaDgluMdapDala[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:UNMAPPED-CPDS)				
5DOAN	5'-deoxyadenosine nuclosidase	[c] : dad-5 + h2o --> 5drib + ade	b0159			(:UNMAPPED-CPDS)				
AACPS2	acyl-[acyl-carrier-protein] synthetase  (n-C14:1)	[c] : ACP + atp + ttdcea --> amp + ppi + tdeACP	( b2836  and  b1094 )	6.2.1.20		(:UNMAPPED-CPDS)				
AGM3PA	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide amidase	[c] : anhgm3p + h2o --> LalaDgluMdap + anhgm	b0110			(:UNMAPPED-CPDS)				
AGM3PApp	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide amidase (periplasm)	[p] : anhgm3p + h2o --> LalaDgluMdap + anhgm	( b4169  or  b2435  or  b2817 )			(:UNMAPPED-CPDS)				
AGM3PH	"N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide beta -1,4-N-acetylglucosaminidase"	[c] : anhgm3p + h2o --> acgam + anhm3p	b1107			(:UNMAPPED-CPDS)				
AGM3Pt2pp	GlcNAc-anhMurNAc tripeptide transport in via proton symport (periplasm)	anhgm3p[p] + h[p] --> anhgm3p[c] + h[c]	b0433			(:UNMAPPED-CPDS)				
AGM4PA	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide amidase	[c] : anhgm4p + h2o --> LalaDgluMdapDala + anhgm	b0110			(:UNMAPPED-CPDS)				
AGM4PApp	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide amidase (periplasm)	[p] : anhgm4p + h2o --> LalaDgluMdapDala + anhgm	( b2817  or  b4169  or  b2435 )			(:UNMAPPED-CPDS)				
AGM4PCP	"N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide L,D-carboxypeptidase"	[c] : anhgm4p + h2o --> ala-D + anhgm3p	b1192			(:UNMAPPED-CPDS)				
AGM4PCPpp	"N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide L,D-carboxypeptidase (periplasmic)"	[p] : anhgm4p + h2o --> ala-D + anhgm3p				(:UNMAPPED-CPDS)				
AGM4PH	"N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide beta -1,4-N-acetylglucosaminidase"	[c] : anhgm4p + h2o --> acgam + anhm4p	b1107			(:UNMAPPED-CPDS)				
AGM4Pt2pp	GlcNAc-anhMurNAc tetrapeptide transport in via proton symport (periplasm)	anhgm4p[p] + h[p] --> anhgm4p[c] + h[c]	b0433			(:UNMAPPED-CPDS)				
AGMH	"N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl beta -1,4-N-acetylglucosaminidase"	[c] : anhgm + h2o --> acgam + anhm	b1107			(:UNMAPPED-CPDS)				
AGMt2pp	GlcNAc-anhMurNAc transport in via proton symport (periplasm)	anhgm[p] + h[p] --> anhgm[c] + h[c]	b0433			(:UNMAPPED-CPDS)				
ALAGLUE	L-alanyl-gamma-glutamate epimerase	[c] : LalaDglu <==> LalaLglu	b1325			(:UNMAPPED-CPDS)				
ALR4x	aldose reductase (acetol)	[c] : acetol + h + nadh --> 12ppd-R + nad	b3945			(:UNMAPPED-CPDS)				
AM3PA	anhydrous-N-Acetylmuramyl-tripeptide amidase	[c] : anhm3p + h2o --> LalaDgluMdap + anhm	b0110			(:UNMAPPED-CPDS)				
AM4PA	anhydrous-N-Acetylmuramyl-tetrapeptide amidase	[c] : anhm4p + h2o --> LalaDgluMdapDala + anhm	b0110			(:UNMAPPED-CPDS)				
AM4PCP	"anhydrous-N-Acetylmuramyl-tetrapeptide L,D-carboxypeptidase"	[c] : anhm4p + h2o --> ala-D + anhm3p	b1192			(:UNMAPPED-CPDS)				
AMPTASECG	alanyl aminopeptidase (cys-gly)	[c] : cgly + h2o --> cys-L + gly	( b0237  or  b4260  or  b2523  or  b0932 )	3.4.11.2		(:UNMAPPED-CPDS)				
AMPTASEPG	aminopeptidase (pro-gly)	[c] : h2o + progly --> gly + pro-L	( b4260  or  b0237  or  b0932  or  b2523 )	3.4.11.2		(:UNMAPPED-CPDS)				
ANHGMtex	GlcNAc-anhMurNAc transport via diffusion (extracellular to periplasm)	anhgm[e] <==> anhgm[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:UNMAPPED-CPDS)				
AP5AH	Ap5A hydrolase	[c] : ap5a + h2o --> adp + atp + (2) h	b0049			(:UNMAPPED-CPDS)				
ARBTNabcpp	aerobactin transport via ABC system (periplasm)	arbtn-fe3[p] + atp[c] + h2o[c] --> adp[c] + arbtn-fe3[c] + h[c] + pi[c]	( b0153  and  b0151  and  b0152 )			(:UNMAPPED-CPDS)				
ARBTNexs	aerobactin Fe-loading reaction (spontaneous)	[e] : arbtn + fe3 --> arbtn-fe3	s0001			(:UNMAPPED-CPDS)				
ARBTNR1	aerobactin reductase	[c] : (2) arbtn-fe3 + fadh2 --> (2) arbtn + fad + (2) fe2 + (2) h				(:UNMAPPED-CPDS)				
ARBTNR2	aerobactin reductase	[c] : (2) arbtn-fe3 + fmnh2 --> (2) arbtn + (2) fe2 + fmn + (2) h				(:UNMAPPED-CPDS)				
ARBTNR3	aerobactin reductase	[c] : (2) arbtn-fe3 + rbflvrd --> (2) arbtn + (2) fe2 + (2) h + ribflv				(:UNMAPPED-CPDS)				
ARBTNtonex	aerobactin transport via ton system (extracellular)	arbtn-fe3[e] + h[p] --> arbtn-fe3[p] + h[c]				(:UNMAPPED-CPDS)				
CGLYabcpp	L-Cysteinylglycine (Cys-Gly) transport via ABC system (periplasm)	atp[c] + cgly[p] + h2o[c] --> adp[c] + cgly[c] + h[c] + pi[c]	( b3544  and  b3543  and  b3542  and  b3541  and  b3540 )			(:UNMAPPED-CPDS)				
CGLYtex	L-Cysteinylglycine transport via diffusion (extracellular to periplasm)	cgly[e] <==> cgly[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:UNMAPPED-CPDS)				
CPGNexs	coprogen Fe-loading reaction (spontaneaous)	[e] : cpgn-un + fe3 --> cpgn	s0001			(:UNMAPPED-CPDS)				
CPGNR1	coprogen(Fe(III)) reductase	[c] : (2) cpgn + fadh2 --> (2) cpgn-un + fad + (2) fe2 + (2) h				(:UNMAPPED-CPDS)				
CPGNR2	coprogen(Fe(III)) reductase	[c] : (2) cpgn + fmnh2 --> (2) cpgn-un + (2) fe2 + fmn + (2) h				(:UNMAPPED-CPDS)				
CPGNR3	coprogen(Fe(III)) reductase	[c] : (2) cpgn + rbflvrd --> (2) cpgn-un + (2) fe2 + (2) h + ribflv				(:UNMAPPED-CPDS)				
CPGNUtex	coprogen unloaded secretion (extracellular)	cpgn-un[p] + h[p] --> cpgn-un[e] + h[c]				(:UNMAPPED-CPDS)				
CPGNUtpp	coprogen unloaded secretion	cpgn-un[c] + h[p] --> cpgn-un[p] + h[c]				(:UNMAPPED-CPDS)				
DHCIND	"2,3-dihydroxycinnamate dehydrogenase"	[c] : cenchddd + nad --> dhcinnm + h + nadh	b2541			(:UNMAPPED-CPDS)				
DHCINDO	"2,3-dihydroxycinnamate 1,2-dioxygenase"	[c] : dhcinnm + o2 --> h + hkntd	b0348			(:UNMAPPED-CPDS)				
DHPTDCs	"4,5-dihydroxy-2,3-pentanedione cyclization (spontaneous)"	[c] : dhptd --> h2o + hmfurn	s0001			(:UNMAPPED-CPDS)				
DSBAO1	DsbA protein reoxidation reaction (aerobic)	dsbard[p] + q8[c] --> dsbaox[p] + q8h2[c]	( b3860  and  b1185 )			(:UNMAPPED-CPDS)				
DSBAO2	DsbA protein reoxidation reaction (anaerobic)	dsbard[p] + mqn8[c] --> dsbaox[p] + mql8[c]	( b3860  and  b1185 )			(:UNMAPPED-CPDS)				
DSBCGT	DsbC:glutathione thiotransferase	[p] : dsbcox + (2) gthrd --> dsbcrd + gthox	b2893			(:UNMAPPED-CPDS)				
DSBDR	DsbD reductase	[c] : dsbdox + trdrd --> dsbdrd + trdox	( ( b4136  and  b3781 )  or  ( b4136  and  b2582 ) )			(:UNMAPPED-CPDS)				
DSBGGT	DsbG:glutathione thiotransferase	[p] : dsbgox + (2) gthrd --> dsbgrd + gthox	b0604			(:UNMAPPED-CPDS)				
ECA4COLIPAtex	enterobacterial common antigen (x4) core oligosaccharide lipid A transport (periplasm to extracellular)	eca4colipa[p] --> eca4colipa[e]				(:UNMAPPED-CPDS)				
ECA4OALpp	enterobacterial common antigen (x4) O-antigen ligase (periplasm)	[p] : colipa + eca4und --> eca4colipa + h + udcpdp	b3622			(:UNMAPPED-CPDS)				
ECAP1pp	enterobacterial common antigen polymerase (periplasm)	[p] : (2) unagamuf --> eca2und + h + udcpdp	( b3793  and  b3785 )			(:UNMAPPED-CPDS)				
ECAP2pp	enterobacterial common antigen polymerase (periplasm)	[p] : eca2und + unagamuf --> eca3und + h + udcpdp	( b3793  and  b3785 )			(:UNMAPPED-CPDS)				
ECAP3pp	enterobacterial common antigen polymerase (periplasm)	[p] : eca3und + unagamuf --> eca4und + h + udcpdp	( b3793  and  b3785 )			(:UNMAPPED-CPDS)				
