abbreviation	name	equation	reversible	compartement	lowbnd	uppbnd	obj_coef	rule	subsystem
ID_132	homoserine dehydrogenase (NAD+)	[c]: aspsald + nadh + h --> hser + nad	false	C_c	0	1000	0	(hom1) or (hom2)	Glycine, serine and threonine metabolism
ID_124	2-O-(6-phospho-alpha-D-mannosyl)-D-glycerate 6-phosphomannohydrolase	[c]: 2o6pamg2d + h2o <==> man6p + glyc	true	C_c	-1000	1000	0	(mngB)	Glycine, serine and threonine metabolism
ID_609	glycerate kinase	[c]: glyc + atp --> 3pg + adp	false	C_c	0	1000	0	(garK)	Glycine, serine and threonine metabolism
ID_385	homoserine kinase	[c]: hser + atp --> phser + adp	false	C_c	0	1000	0	(thrB)	Glycine, serine and threonine metabolism
ID_52	aspartate-semialdehyde dehydrogenase	[c]: asp4p + nadph + h --> aspsald + pi + nadp	false	C_c	0	1000	0	(asd)	Glycine, serine and threonine metabolism
ID_320	L-serine ammonia-lyase	[c]: serL --> pyr + nh3	false	C_c	0	1000	0	(sdaB)	Glycine, serine and threonine metabolism
ID_694	succinyl-CoA:glycine C-succinyltransferase	[c]: succoa + gly <==> 5all + coa + co2	true	C_c	-1000	1000	0		Glycine, serine and threonine metabolism
ID_729	choline dehydrogenase (NAD+)	[c]: chol + nad --> betald + nadh + h	false	C_c	0	1000	0	(CD3006)	Glycine, serine and threonine metabolism
ID_393	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) NADP	[c]: 13bpg + nadph + h <==> glyald3p + pi + nadp	true	C_c	-1000	1000	0	(gapA) or (gapB)	Glycolysis / Gluconeogenesis
ID_55	alpha-D-glucose 6-phosphate ketol-isomerase	[c]: glc6pA <==> fru6p	true	C_c	-1000	1000	0	(pgi)	Glycolysis / Gluconeogenesis
ID_496	ATP:oxaloacetate carboxylyase	[c]: oxac + atp --> pepyr + adp + co2	false	C_c	0	1000	0		Glycolysis / Gluconeogenesis
ID_622	D-glyceraldehyde 3-phosphate:NADP+ oxidoreductase	[c]: glyald3p + nadp + h2o <==> 3pg + nadph + h	true	C_c	-1000	1000	0	(gapN)	Glycolysis / Gluconeogenesis
ID_360	acetaldehyde:NAD+ oxidoreductase (acetate forming)	[c]: aald + nad + h2o --> ac + nadh + h	false	C_c	0	1000	0	(aldH)	Glycolysis / Gluconeogenesis
ID_401	phosphoglucomutase	[c]: glc6pA <==> glc1pA	true	C_c	-1000	1000	0	(pgm1) or (CD2318) or (pgm2)	Glycolysis / Gluconeogenesis
ID_221	dihydrolipoamide dehydrogenase	[c]: hgcvpdhllys + nad --> hgcvpllys + nadh + h	false	C_c	0	1000	0	(CD0723) and (acoL)	Glycolysis / Gluconeogenesis
ID_53	pyruvate:ferredoxin oxidoreductase	[c]: pyr + coa + (2) feroxoxi <==> acoa + co2 + (2) h + (2) feroxred	true	C_c	-1000	1000	0	(CD0118) and (CD2199) and (CD2198)	Glycolysis / Gluconeogenesis
ID_179	phosphoglycerate mutase	[c]: 2pg <==> 3pg	true	C_c	-1000	1000	0	(gpmI) or (CD1814)	Glycolysis / Gluconeogenesis
ID_414	ATP:alpha-D-glucose 6-phosphotransferase	[c]: atp + glcAD --> adp + glc6pA	false	C_c	0	1000	0	(glcK) or (CD2236)	Glycolysis / Gluconeogenesis
ID_621	beta-D-glucose 6-phosphate ketol-isomerase	[c]: fru6p <==> glc6p	true	C_c	-1000	1000	0	(pgi)	Glycolysis / Gluconeogenesis
ID_498	glucose-6-phosphate 1-epimerase	[c]: glc6p <==> glc6pA	true	C_c	-1000	1000	0	(Spontaneous)	Glycolysis / Gluconeogenesis
ID_285	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)	[c]: 13bpg + nadh + h <==> glyald3p + pi + nad	true	C_c	-1000	1000	0	(gapA) or (gapB)	Glycolysis / Gluconeogenesis
ID_233	phosphoglycerate kinase	[c]: 3pg + atp <==> 13bpg + adp	true	C_c	-1000	1000	0	(pgk)	Glycolysis / Gluconeogenesis
ID_660	L-lactate dehydrogenase	[c]: pyr + nadh + h --> lacS + nad	false	C_c	0	1000	0	(ldh)	Glycolysis / Gluconeogenesis
ID_39	D-glucose 1-phosphate phosphohydrolase	[c]: glc1pA + h2o --> glc + pi	false	C_c	0	1000	0		Glycolysis / Gluconeogenesis
ID_657	ATP:beta-D-glucose 6-phosphotransferase	[c]: glc + atp --> glc6p + adp	false	C_c	0	1000	0	(glcK) or (CD2236)	Glycolysis / Gluconeogenesis
ID_147	D-glucose 1-epimerase	[c]: glcAD <==> glc	true	C_c	-1000	1000	0	(CD3440)	Glycolysis / Gluconeogenesis
ID_721	D-glucose aldose-ketose-isomerase	[c]: glc <==> fru	true	C_c	-1000	1000	0	(xylA) or (CD0556)	Glycolysis / Gluconeogenesis
ID_596	triose-phosphate isomerase	[c]: glyald3p <==> dhap	true	C_c	-1000	1000	0	(tpiA)	Glycolysis / Gluconeogenesis
ID_391	phosphopyruvate hydratase	[c]: pepyr + h2o <==> 2pg	true	C_c	-1000	1000	0	(eno)	Glycolysis / Gluconeogenesis
ID_140	acetate:CoA ligase (AMP-forming)	[c]: ac + atp + coa --> acoa + ppi + amp	false	C_c	0	1000	0	(CD2196)	Glycolysis / Gluconeogenesis
ID_383	ethanol dehydrogenase	[c]: eto + nad <==> aald + nadh + h	true	C_c	-1000	1000	0	(adhE) or (CD3006) or (CD2966)	Glycolysis / Gluconeogenesis
ID_252	ATP:pyruvate 2-O-phosphotransferase	[c]: pepyr + adp <==> pyr + atp	true	C_c	-1000	1000	0	(pykF)	Glycolysis / Gluconeogenesis
ID_654	AMP:fructose-1,6-bisphosphate phosphotransferase	[c]: fru16bp + amp --> fru6p + adp	false	C_c	0	1000	0		Glycolysis / Gluconeogenesis
ID_473	gluconolactonase	[c]: dgo15lac + h2o --> glcn	false	C_c	0	1000	0		Glycolysis / Gluconeogenesis
ID_339	hydroxypyruvate isomerase	[c]: tartsald <==> hpyr	true	C_c	-1000	1000	0		Glyoxylate and dicarboxylate metabolism
ID_753	L-Serine:glyoxylate aminotransferase	[c]: glx + serL <=> hpyr + gly	true	C_c	-1000	1000	0	(CD0994)	Glyoxylate and dicarboxylate metabolism
ID_754	glycolate fermentation	[c]: (6) glyclt + h --> ac + (2) succ + (2) co2 + (4) h2o	false	C_c	0	1000	0		Glyoxylate and dicarboxylate metabolism
ID_362	(3R)-3-Hydroxybutanoyl-CoA hydro-lyase	[c]: r3hbatcoa <==> ctnycoa + h2o	true	C_c	-1000	1000	0	(crt1) or (crt2)	Glyoxylate and dicarboxylate metabolism
ID_752	Glycolaldehyde dehydrogenase	[c]: gcald + nad + h2o --> glyclt + nadh + h	false	C_c	0	1000	0	(aldH)	Glyoxylate and dicarboxylate metabolism
ID_128	D-glycerate:NAD+ oxidoreductase	[c]: tartsald + nadh + h <==> glyc + nad	true	C_c	-1000	1000	0	(garR)	Glyoxylate and dicarboxylate metabolism
ID_374	glycine cleavage	[c]: thf + gly + nad --> 510mlethf + nh3 + nadh + co2 + h	false	C_c	0	1000	0	(gcvTPA) and (gcvH)	Glyoxylate and dicarboxylate metabolism
ID_535	2-hydroxy-3-oxopropionate reductase	[c]: tartsald + nadph + h <==> glyc + nadp	true	C_c	-1000	1000	0	(garR)	Glyoxylate and dicarboxylate metabolism
ID_90	formate dehydrogenase	[c]: for + nad --> co2 + h + nadh	false	C_c	0	1000	0	(fdhF)	Glyoxylate and dicarboxylate metabolism
ID_230	glycine oxidase	[c]: 2iac + h2o --> glx + nh3	false	C_c	0	1000	0	(CD2868) or (Spontaneous)	Glyoxylate and dicarboxylate metabolism
ID_211	10-formyltetrahydrofolate aminohydrolase	[c]: 10fthf + h2o --> thf + for	false	C_c	0	1000	0		Glyoxylate and dicarboxylate metabolism
ID_151	imidazole glycerol phosphate synthase	[c]: prfiaicarp + glnL --> eimzgp + aimzcrnt + gluL	false	C_c	0	1000	0	(hisH) and (hisF)	Histidine metabolism
ID_196	phosphoribosyl-AMP cyclohydrolase	[c]: 15pramp + h2o --> 15pr55pramai4c	false	C_c	0	1000	0	(hisI)	Histidine metabolism
ID_361	histidinol:NAD+ oxidoreductase	[c]: histd + nad --> hista + nadh + h	false	C_c	0	1000	0	(hisD)	Histidine metabolism
ID_215	phosphoribosyl-ATP diphosphatase	[c]: pratp + h2o --> 15pramp + ppi	false	C_c	0	1000	0	(hisI) or (CD3497)	Histidine metabolism
ID_76	histidinol-phosphatase	[c]: hisp + h2o --> histd + pi	false	C_c	0	1000	0	(hisK) or (CD1069)	Histidine metabolism
ID_191	N-carbamoul-L-aspartate hydrolase	[c]: aspL + nh3 + co2 <==> casp + h2o	true	C_c	-1000	1000	0	(CD2027)	Histidine metabolism
ID_268	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase	[c]: 15pr55pramai4c --> prfiaicarp	false	C_c	0	1000	0	(hisA)	Histidine metabolism
ID_338	ATP phosphoribosyltransferase	[c]: 5pr1dp + atp --> pratp + ppi	false	C_c	0	1000	0	(hisZ) and (hisG)	Histidine metabolism
ID_713	histidinal:NAD+ oxidoreductase	[c]: hista + nad + h2o --> his + nadh + h	false	C_c	0	1000	0	(hisD)	Histidine metabolism
ID_164	histidinol-phosphate transaminase	[c]: imzap + gluL --> hisp + 2oglut	false	C_c	0	1000	0	(hisC) or (CD2200) or (CD2502)	Histidine metabolism
ID_66	imidazoleglycerol-phosphate dehydratase	[c]: eimzgp --> imzap + h2o	false	C_c	0	1000	0	(hisB)	Histidine metabolism
ID_28	L-Leucine:2-oxoglutarate aminotransferase	[c]: leuL + 2oglut --> gluL + 4m2op	false	C_c	0	1000	0	(pabC)	Leucine Fermentation
ID_31	acyl-CoA dehydrogenase	[c]: isocaprecoa + nadh + h --> isocapcoa + nad	false	C_c	0	1000	0	(acdB)	Leucine Fermentation
ID_605	2-hydroxyisocaproate CoA transferase	[c]: 2hisocap + coa --> 2hisocapcoa + h2o	false	C_c	0	1000	0	(hadA)	Leucine Fermentation
ID_382	2-hydroxyisocaproyl-CoA dehydratase	[c]: 2hisocapcoa + (3) h --> isocaprecoa + h2o	false	C_c	0	1000	0	(hadI) and (hadB) and (hadC)	Leucine Fermentation
ID_685	2-hydroxyisocaproate dehydrogenase	[c]: 4m2op + nadh + h --> 2hisocap + nad	false	C_c	0	1000	0	(ldhA)	Leucine Fermentation
ID_20	Isocaprenoyl-CoA CoA transferase	[c]: isocapcoa + h2o --> coa + isocap + (4) h	false	C_c	0	1000	0	(hadA)	Leucine Fermentation
ID_550	dihydrodipicolinate synthase	[c]: aspsald + pyr --> 4s4h2345th2sdl + h2o	false	C_c	0	1000	0	(dapA1) or (dapA2) or (dapA3) or (dapA4)	Lysine biosynthesis
ID_181	(R)-2-hydroxybutane-1,2,4-tricarboxylate hydro-lyase [(1R,2S)-1-hydroxybutane-1,2,4-tricarboxylate-forming]	[c]: hcit <==> hicit	true	C_c	-1000	1000	0		Lysine biosynthesis
ID_626	succinyl-diaminopimelate desuccinylase	[c]: s26dap + h2o --> dap + succ	false	C_c	0	1000	0	(CD3102) or (CD2173) or (CD2084)	Lysine biosynthesis
ID_686	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso-2,6-diaminoheptanedioate ligase	[c]: udpamag + dapime + atp --> udpamagdap + adp + pi	false	C_c	0	1000	0	(murE)	Lysine biosynthesis
ID_115	diaminopimelate epimerase	[c]: dap --> dapime	false	C_c	0	1000	0	(dapF)	Lysine biosynthesis
ID_82	(1R,2S)-1-hydroxybutane-1,2,4-tricarboxylate:NAD+ oxidoreductase (decarboxylating)	[c]: hicit + nad <==> 2oa + co2 + nadh + h	true	C_c	-1000	1000	0	(aksA)	Lysine biosynthesis
ID_725	acetyl-CoA:2-oxoglutarate C-acetyltransferase (thioester-hydrolysing, carboxymethyl forming)	[c]: acoa + h2o + 2oglut <==> hcit + coa	true	C_c	-1000	1000	0	(aksA)	Lysine biosynthesis
ID_120	dihydrodipicolinate reductase (NADP+)	[c]: 4s4h2345th2sdl + nadph + h --> 2345thd + nadp + h2o	false	C_c	0	1000	0	(dapB1) or (dapB2)	Lysine biosynthesis
ID_701	dihydrodipicolinate reductase (NAD+)	[c]: 4s4h2345th2sdl + nadh + h --> 2345thd + nad	false	C_c	0	1000	0	(dapB1) or (dapB2)	Lysine biosynthesis
ID_462	succinyldiaminopimelate transaminase	[c]: s2a6kp + gluL --> s26dap + 2oglut	false	C_c	0	1000	0		Lysine biosynthesis
ID_652	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	[c]: 2345thd + succoa + h2o --> s2a6kp + coa	false	C_c	0	1000	0	(dapH)	Lysine biosynthesis
ID_479	diaminopimelate decarboxylase	[c]: dapime --> lysL + co2	false	C_c	0	1000	0	(lysA) or (CD1808)	Lysine biosynthesis
ID_434	L-lysine 2,3-aminomutase	[c]: lysL --> 36dah	false	C_c	0	1000	0	(kamA)	Lysine degradation
ID_184	(3S,5S)-3,5-diaminohexanoate:NAD+ oxidoreductase	[c]: 35dah + nad + h2o --> 5a3oh + nh3 + nadh + h	false	C_c	0	1000	0		Lysine degradation
ID_349	3-keto-5-aminohexanoate cleavage	[c]: 5a3oh + acoa --> aac + 3abcoa	false	C_c	0	1000	0		Lysine degradation
ID_113	L-3-aminobutyryl-CoA amminoa-lyase	[c]: 3abcoa --> ctncoa + nh3	false	C_c	0	1000	0		Lysine degradation
ID_574	(3S)-3,6-diaminohexanoate 5,6-aminomutase	[c]: 36dah --> 35dah	false	C_c	0	1000	0		Lysine degradation
ID_288	butyrate-acetoacetate CoA-transferase	[c]: aac + btcoa <==> 2but + aacoa	true	C_c	-1000	1000	0	(scoA) and (scoB)	Lysine degradation
ID_531	N-Ribosylnicotinamide:orthophosphate ribosyltransferase	[c]: ncamrib + pi <==> ncam + rib1p + h	true	C_c	-1000	1000	0	(deoD)	Nicotinate and nicotinamide metabolism
ID_174	nicotinate-nucleotide diphosphorylase (carboxylating)	[c]: quln + 5pr1dp + h --> nacmnc + ppi + co2	false	C_c	0	1000	0	(nadC)	Nicotinate and nicotinamide metabolism
ID_395	Nicotinamide amidohydrolase	[c]: ncam + h2o --> nac + nh3	false	C_c	0	1000	0		Nicotinate and nicotinamide metabolism
ID_551	nicotinamide-nucleotide adenylyltransferase (NAD+ forming)	[c]: atp + ncammnuc + h --> ppi + nad	false	C_c	0	1000	0	(nadD)	Nicotinate and nicotinamide metabolism
ID_218	deamino-NAD+:ammonia ligase	[c]: nacaddn + nh3 + atp --> nad + ppi + amp	false	C_c	0	1000	0	(nadE)	Nicotinate and nicotinamide metabolism
ID_27	nicotinamide-nucleotide adenylyltransferase	[c]: nacmnc + atp --> nacaddn + ppi	false	C_c	0	1000	0	(nadD)	Nicotinate and nicotinamide metabolism
ID_58	N-ribosylnicotinamide ribohydrolase	[c]: ncamrib + h2o <==> ncam + ribD + h	true	C_c	-1000	1000	0	(iunH)	Nicotinate and nicotinamide metabolism
ID_294	L-aspartate:NADP+ oxidoreductase (deaminating)	[c]: aspL + nadp <==> isuc + nadph + h	true	C_c	-1000	1000	0	(nadB)	Nicotinate and nicotinamide metabolism
ID_313	NAD+ synthase (glutamine-hydrolysing)	[c]: nacaddn + glnL + atp + h2o --> nad + gluL + ppi + amp	false	C_c	0	1000	0	(nadE)	Nicotinate and nicotinamide metabolism
ID_304	L-aspartate:NAD+ oxidoreductase (deaminating)	[c]: aspL + nad <==> isuc + nadh + h	true	C_c	-1000	1000	0	(nadB)	Nicotinate and nicotinamide metabolism
ID_262	nicotinate mononucleotide:diphosphate phosphoribosyltransferase	[c]: nac + 5pr1dp + atp + h2o + h --> nacmnc + ppi + adp + pi	false	C_c	0	1000	0	(CD3543)	Nicotinate and nicotinamide metabolism
ID_533	Nicotinamide ribonucleotide phosphohydrolase	[c]: ncammnuc + h + h2o --> ncamrib + pi	false	C_c	0	1000	0	(CD2537)	Nicotinate and nicotinamide metabolism
ID_580	NAD+ phosphohydrolase	[c]: nad + h2o --> amp + ncammnuc + h	false	C_c	0	1000	0	(CD3413)	Nicotinate and nicotinamide metabolism
ID_41	NADP+ 2'-phosphohydrolase	[c]: nadp + h2o --> nad + pi	false	C_c	0	1000	0		Nicotinate and nicotinamide metabolism
ID_399	alpha-iminosucinate:dihydroxyacetone phosphate alkyltransferase	[c]: isuc + dhap --> quln + pi + (2) h2o	false	C_c	0	1000	0	(nadA)	Nicotinate and nicotinamide metabolism
ID_559	NAD+ glycohydrolase	[c]: nad + h2o <==> ncam + adprib + h	true	C_c	-1000	1000	0		Nicotinate and nicotinamide metabolism
ID_415	NAD+ kinase	[c]: nad + atp --> nadp + adp	false	C_c	0	1000	0	(CD1049)	Nicotinate and nicotinamide metabolism
ID_651	L-aspartate:fumarate oxidoreductase	[c]: aspL + fum --> isuc + succ	false	C_c	0	1000	0	(nadB)	Nicotinate and nicotinamide metabolism
ID_286	ferredoxin-nitrate reductase	[c]: no2 + h2o + (2) feroxoxi <==> no3 + (2) feroxred	true	C_c	-1000	1000	0	(CD2179)	Nitrite metabolism
ID_386	nitrate reductase	[c]: no3 + nad + (3) h --> no2 + nadh + h2o	false	C_c	0	1000	0	(CD2179)	Nitrite metabolism
ID_521	ferredoxin-nitrite reductase	[c]: nh3 + (2) h2o + (6) feroxoxi <==> no2 + (6) feroxred + (6) h	true	C_c	-1000	1000	0	(CD2431)	Nitrite metabolism
ID_662	nitrite reductase [NADPH]	[c]: no2 + (3) nadph + (3) h --> nh3 + (3) nadp + (2) h2o	false	C_c	0	1000	0	(CD2431)	Nitrite metabolism
ID_22	ammonia:NAD+ oxidoreductase	[c]: nh3 + nad + h2o <==> hoam + nadh + h	true	C_c	-1000	1000	0	(hcp)	Nitrite metabolism
ID_43	nitrite reductase [NADH]	[c]: no2 + (3) nadh + (3) h --> nh3 + (3) nad + (2) h2o	false	C_c	0	1000	0	(CD2431)	Nitrite metabolism
ID_697	5,10-Methenyltetrahydrofolate:5'-phosphoribosylglycinamide formyltransferase	[c]: 5prga + 510methf + h2o --> 5prfga + thf + h	false	C_c	0	1000	0	(purN)	One carbon pool by folate
ID_482	5-formiminotetrahydrofolate ammonia-lyase	[c]: 5fithf + h --> 510methf + nh3	false	C_c	0	1000	0	(fchA)	One carbon pool by folate
ID_591	tetrahydrofolate:NADP+ oxidoreductase	[c]: 78dhfmg + nadph + h --> thf + nadp	false	C_c	0	1000	0	(CD2577)	One carbon pool by folate
ID_723	methylenetetrahydrofolate reductase (ferredoxin)	[c]: 510mlethf + (2) feroxred + (2) h --> 5mthf + (2) feroxoxi	false	C_c	0	1000	0	(metF)	One carbon pool by folate
ID_326	CO-methylating acetyl-CoA synthase	[c]: co + fesm + coa --> acoa + fes + h	false	C_c	0	1000	0	(CD0728) and (CD0726) and (CD0727) and (CD0717) and (CD0724) or (CD0728) and (CD0725) and (CD0727) and (CD0717) and (CD0724)	One carbon pool by folate
ID_14	Spontaneous tetrahydrofolate transformation	[c]: fald + thf --> 510mlethf + h2o	false	C_c	0	1000	0	(Spontaneous)	One carbon pool by folate
ID_758	5,10-Methenyltetrahydrofolate aminomethyltransferase	[c]: 510methf + h2o --> 5fthf + h	false	C_c	0	1000	0	(glyA) or (CD2834)	One carbon pool by folate
ID_342	5-methyltetrahydrofolate:NAD+ oxidoreductase	[c]: 510mlethf + nadh + h --> 5mthf + nad	false	C_c	0	1000	0	(metF)	One carbon pool by folate
ID_145	5,10-methenyltetrahydrofolate 5-hydrolase (decyclizing)	[c]: 10fthf + h <==> 510methf + h2o	true	C_c	-1000	1000	0	(fchA)	One carbon pool by folate
ID_123	methylenetetrahydrofolate dehydrogenase (NAD+)	[c]: 510mlethf + nad --> 510methf + nadh	false	C_c	0	1000	0	(folD)	One carbon pool by folate
ID_483	5-methyltetrahydrofolate:corrinoid Co-methyltransferase	[c]: 5mthf + fes + h --> thf + fesm	false	C_c	0	1000	0	(CD0727)	One carbon pool by folate
ID_669	5-formyltetrahydrofolate cyclo-ligase	[c]: 5fthf + atp + h --> 510methf + pi + adp	false	C_c	0	1000	0	(CD3456)	One carbon pool by folate
ID_499	methylenetetrahydrofolate dehydrogenase (NADP+)	[c]: 510mlethf + nadp <==> 510methf + nadph	true	C_c	-1000	1000	0	(folD)	One carbon pool by folate
ID_597	aminomethyltransferase (H-Gcv-protein)	[c]: hpsamdhllys + thf --> hgcvpdhllys + nh3 + 510mlethf	false	C_c	0	1000	0	(gcvTPA)	One carbon pool by folate
ID_623	formate:tetrahydrofolate ligase (ADP-forming)	[c]: thf + for + atp <==> 10fthf + adp + pi	true	C_c	-1000	1000	0	(fhs)	One carbon pool by folate
ID_427	NADH:ubiquinol-8 oxidoreductase	[c]: uqnl8 + nad <==> uqnn8 + nadh + h	true	C_c	-1000	1000	0	(hymA) and (hymB) and (CD3407)	Oxidoreduction of electron transfer metabolites
ID_48	succinyl-CoA reductase	[c]: succoa + nadph + h --> sucsald + nadp + coa	false	C_c	0	1000	0	(sucD)	Oxidoreduction of electron transfer metabolites
ID_378	carbon dioxide:ferredoxin oxidoreductase	[c]: co2 + feroxred + (2) h --> co + h2o + feroxoxi	false	C_c	0	1000	0	(cooS) or (CD0716)	Oxidoreduction of electron transfer metabolites
ID_566	ferredoxin-NAD+ reductase	[c]: (2) feroxred + nad + h <==> nadh + (2) feroxoxi	true	C_c	-1000	1000	0		Oxidoreduction of electron transfer metabolites
ID_466	carbon monoxide:acceptor oxidoreductase	[c]: co + h2o + elecaccept-oxi --> elecaccept-red + co2	false	C_c	0	1000	0	(xdhC2)	Oxidoreduction of electron transfer metabolites
ID_244	ferredoxin-NADP+ reductase	[c]: (2) feroxred + nadp + h --> nadph + (2) feroxoxi	false	C_c	0	1000	0	(CD1536)	Oxidoreduction of electron transfer metabolites
ID_648	hydrogen:ferredoxin oxidoreductase	[c]: (2) feroxred + (2) h --> h2 + (2) feroxoxi	false	C_c	0	1000	0	(hydA) or (CD0894) or (CD3407)	Oxidoreduction of electron transfer metabolites
ID_316	carbon dioxide reductase	[c]: co2 + nadph + h --> for + nadp	false	C_c	0	1000	0	(CD0769) or (CD2179)	Oxidoreduction of electron transfer metabolites
Trans_fru	D-fructose transport phosphotransferase	fru[e] + pepyr[c] --> fru6p[c] + pyr[c]	false	C_c, C_e	0	1000	0	(CD3134) or (CD0206) and (CD0207) and (CD0208) or (CD3278) and (CD3279) and (CD3277) and (CD3276) or (CD1074) and (CD1076) and (CD1077) and (CD1078) or (CD0491) and (CD0492) and (CD0493) and (CD0494) or (CD0286) and (CD0287) and (CD0288) and (CD0289) or (CD0284) and (CD0285) or (CD3629) and (CD3630)	PEP-dependent transporter
Trans_udpagaepyr	UDP-N-acetylglucosamine-enolpyruvate Transport	udpagaepyr[e] + pepyr[c] + h2o[c] --> pyr[c] + udpagaepyr[c] + pi[c]	false	C_c, C_e	0	1000	0		PEP-dependent transporter
Trans_gtol	Galactitol pep transporter	gtol[e] + pepyr[c] --> gtol1p[c] + pyr[c]	false	C_c, C_e	0	1000	0	(CD0043) and (CD0042) and (CD0041) or (CD1083) and (CD2280) and (CD2282) or (CD2327) and (CD2326) and (CD2325)	PEP-dependent transporter
Trans_malt	maltose transport phosphotranferase	malt[e] + pepyr[c] --> malt6p[c] + pyr[c]	false	C_c, C_e	0	1000	0	(CD3030) and (CD3027)	PEP-dependent transporter
Trans_tre	trehalose transport phosphotranferase	tre[e] + pepyr[c] --> tre6p[c] + pyr[c]	false	C_c, C_e	0	1000	0		PEP-dependent transporter
Trans_adman	PEP dependant alpha-D-mannose Transport	adman[e] + pepyr[c] --> man6p[c] + pyr[c]	false	C_c, C_e	0	1000	0	(CD3015) and (CD3014) and (CD3013) or (CD2566) and (CD2567) and (CD2568) or (CD3278) and (CD3279) and (CD3277) and (CD3276) or (CD1074) and (CD1076) and (CD1077) and (CD1078) or (CD0491) and (CD0492) and (CD0493) and (CD0494) or (CD0286) and (CD0287) and (CD0288) and (CD0289) or (CD0284) and (CD0285)	PEP-dependent transporter
Trans_glcAD2	alpha-D-glucose transport phosphotranferase 	glcAD[e] + pepyr[c] --> glc6pA[c] + pyr[c]	false	C_c, C_e	0	1000	0	(CD2512) and (CD2510) or (ptsG-A) and (ptsG-BC) or (CD3027) and (CD3030) or (CD3058) and (CD3061) or (CD3101) and (CD3103)	PEP-dependent transporter
Trans_2o6pamg2d	2-O-(6-phospho-alpha-D-mannosyl)-D-glycerate Transport	2o6pamg2d[e] + pepyr[c] + h2o[c] --> 2o6pamg2d[c] + pyr[c] + pi[c]	false	C_c, C_e	0	1000	0		PEP-dependent transporter
Trans_celb	cellobiose transport phosphotranferase	celb[e] + pepyr[c] --> celb6p[c] + pyr[c]	false	C_c, C_e	0	1000	0	(CD0135) and (CD0136) and (CD0137) or (CD0863) and (CD0862) and (CD0861) or (celC) and (celB) and (celA) or (CD3080) and (CD3049) and (CD3048) or (CD3080) and (CD3081) and (CD3082)	PEP-dependent transporter
Trans_sucr	sucrose transport phosphotranferase	sucr[e] + pepyr[c] --> sucr6p[c] + pyr[c]	false	C_c, C_e	0	1000	0	(CD0469)	PEP-dependent transporter
Trans_aga	D-glucosamine transporter	aga[e] + pepyr[c] --> aga6p[c] + pyr[c]	false	C_c, C_e	0	1000	0	(CD0469) or (CD0816) or (CD3097)	PEP-dependent transporter
Trans_mnl	mannitol transport phosphotranferase	mnl[e] + pepyr[c] --> mnl1p[c] + pyr[c]	false	C_c, C_e	0	1000	0	(CD2332) and (CD2334)	PEP-dependent transporter
Trans_dachi	diacetylchitobiose transport phosphotranferase	dachi[e] + pepyr[c] --> dachi6p[c] + pyr[c] + (2) h[c]	false	C_c, C_e	0	1000	0	(CD3445) and (CD3444) and (CD3443)	PEP-dependent transporter
Trans_tgt	Tagatose transport	tgt[e] + pepyr[c] --> tag6p[c] + pyr[c]	false	C_c, C_e	0	1000	0	(tagABC)	PEP-dependent transporter
Trans_sor2	D-sorbitol transport phosphotranferase	sor[e] + pepyr[c] --> sor6p[c] + pyr[c]	false	C_c, C_e	0	1000	0	(srlA) and (srlEa) and (srlEb) and (srlB) or (gutA) and (srlEa) and (srlEb) and (srlB)	PEP-dependent transporter
Trans_glc	D-glucose transport phosphotranferase	glc[e] + pepyr[c] --> glc6p[c] + pyr[c]	false	C_c, C_e	0	1000	0	(bglF) or (CD3127) or (CD3125) or (CD3097) or (CD3030) and (CD3027)	PEP-dependent transporter
Trans_fuc	L-fuculose PTS transporter	fuc[e] + pepyr[c] --> fuc1p[c] + pyr[c]	false	C_c, C_e	0	1000	0		PEP-dependent transporter
ID_169	acetate CoA-transferase	[c]: aacoa + ac --> acoa + aac	false	C_c	0	1000	0	(scoA) and (scoB)	Pantothenate and CoA biosynthesis
ID_420	3-methyl-2-oxobutanoate hydroxymethyltransferase	[c]: 2oiv + 510mlethf + h2o --> 2dhp + thf	false	C_c	0	1000	0	(panB)	Pantothenate and CoA biosynthesis
ID_296	2-dehydropantoate formaldehyde-lyase	[c]: 2dhp <==> 2oiv + fald	true	C_c	-1000	1000	0	(panB)	Pantothenate and CoA biosynthesis
ID_139	phosphopantothenoylcysteine decarboxylase	[c]: 4ppcys --> 4ppt + co2	false	C_c	0	1000	0	(coaBC)	Pantothenate and CoA biosynthesis
ID_405	glutaryl-CoA dehydrogenase	[c]: gcoa + fad --> gccoa + fadh2	false	C_c	0	1000	0		Pantothenate and CoA biosynthesis
ID_756	pantoate--beta-alanine ligase 	[c]: pantR + alaB + atp --> amp + ppi + h + pntoR	false	C_c	0	1000	0	(panC)	Pantothenate and CoA biosynthesis
ID_464	D-4'-phosphopantothenate:L-cysteine ligase	[c]: atp + 4pptnD + cysL --> amp + ppi + 4ppcys	false	C_c	0	1000	0	(coaBC)	Pantothenate and CoA biosynthesis
