REACTION ID	NAME	REACTION DEFINITION	REACTION EQUATION	ENZYME	ASSOCIATED PEG	SUBSYSTEM CLASS	REACTION CLASS	KEGG	STATUS IN Oh et al model	MODEL IDs	DELTAG (kcal/mol)	DELTAGERR (kcal/mol)	MMDELTAG (kcal/mol)	PREDICTED DIRECTIONALITY	THERMODYNAMIC CLASS
rxn03012		L-2-Amino-6-oxopimelate => H+ + H2O + tetrahydrodipicolinate	cpd02414 => cpd00067 + cpd00001 + cpd02465		SPONTANEOUS	Amino Acids and Derivatives	Blocked	R04336	NOT IN MODEL		-16.74	1.36	-16.74	=>	IRREVERSIBLE BY DELTAG MINMAX
rxn03030	Acetyl-CoA:L-2,3,4,5-tetrahydrodipicolinate N2-acetyltransferase|Tetrahydrodipicolinate acetyltransferase	Acetyl-CoA + H2O + tetrahydrodipicolinate <=> CoA + L-2-Acetamido-6-oxopimelate	cpd00022 + cpd00001 + cpd02465 <=> cpd00010 + cpd03289	2.3.1.89	peg.1420	Amino Acids and Derivatives	Positive	R04364	APATi	iYO844:APATi	11.44	1.83	11.44	<=>	REVERSIBLE BY POINT DELTAG CONFLICT
rxn03043	5-Dehydro-4-deoxy-D-glucuronate ketol-isomerase	5-Dehydro-4-deoxy-D-glucuronate <=> 2,5-Diketo-3-deoxy-D-gluconate	cpd02508 <=> cpd02663	5.3.1.17	peg.2218	Carbohydrates	Blocked	R04383	DKI	iYO844:DKI	-1.46	0.30	-1.46	<=>	REVERSIBLE BY MM DELTAG
rxn03057	5-Methylthio-5-deoxy-D-ribose-1-phosphate ketol-isomerase|5-methylthioribose-1-phosphate isomerase|5-Methylthio-5-deoxy-D-ribose-1-phosphate ketol-isomerase|MTRI|5-methylthioribose-1-phosphateisomerase	methylthioribose-1-phosphate <=> methylthioribulose-1-phosphate	cpd02574 <=> cpd02791	5.3.1.23	peg.1357	Amino Acids and Derivatives	Blocked	R04420	MTRI	iIT341:MTRI|iJR904:MTRI|iAG612:rbs_471|iYO844:MTRI|iSB619:MTRI|iAF1260:MTRI	0.62	1.30	0.62	<=>	REVERSIBLE BY MM DELTAG
rxn03060	2-Hydroxybutane-1,2,3-tricarboxylate hydro-lyase|2-methylcitrate dehydratase	2-Methylcitrate <=> H2O + cis-2-Methylaconitate	cpd01501 <=> cpd00001 + cpd02597	4.2.1.79	peg.2417	Carbohydrates	Positive variable	R04424	NOT IN MODEL	iJR904:MCITD|iAbaylyiv4:2-METHYLCITRATE-DEHYDRATASE-RXN|iAG612:rbs_55|iAF1260:MCITD|iJN746:MCITD	0.91	1.11	0.91	<=>	REVERSIBLE BY MM DELTAG
rxn03061	(2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate hydro-lyase|2-methylisocitrate dehydratase|methyl-cis-aconitic acid hydratase	Methylisocitrate <=> H2O + cis-2-Methylaconitate	cpd02799 <=> cpd00001 + cpd02597	4.2.1.99	peg.1804	Carbohydrates	Negative variable	R04425	NOT IN MODEL	iJR904:MICITD|iAbaylyiv4:RXN0-311|iAG612:rbs_54|iAF1260:MICITD|iJN746:MICITDr	0.91	1.11	0.91	<=>	REVERSIBLE BY MM DELTAG
rxn03062	3-Isopropylmalate:NAD+ oxidoreductase|3-isopropylmalate dehydrogenase|3-isopropylmalate dehydrogenase reversible	NAD + 3-Isopropylmalate <=> H+ + NADH + 2-isopropyl-3-oxosuccinate	cpd00003 + cpd02693 <=> cpd00067 + cpd00004 + cpd02605	1.1.1.85	peg.2830	Amino Acids and Derivatives	Positive variable	R04426	IPMD	iJR904:IPMD|iAG612:rbs_63|iAF692:IPMD|iSB619:IPMD|iAF1260:IPMD|iND750:IPMD|iYO844:IPMD|iNJ661:IPMD|iJN746:IPMDr	6.22	1.10	6.22	<=>	REVERSIBLE BY POINTS
rxn03068	(R)-2,3-Dihydroxy-3-methylbutanoate:NADP+ oxidoreductase|(isomerizing)	TPN + 2,3-Dihydroxy-isovalerate <=> H+ + TPNH + 2-Oxo-3-hydroxyisovalerate	cpd00006 + cpd02498 <=> cpd00067 + cpd00005 + cpd02569	1.1.1.86	peg.2832	Amino Acids and Derivatives	Blocked	R04440	NOT IN MODEL		6.22	1.10	6.22	<=>	REVERSIBLE BY POINTS
rxn03071	L-1-Pyrroline-3-hydroxy-5-carboxylate:NAD+ oxidoreductase|L-1-pyrroline-3-hydroxy-5-carboxylate dehydrogenase, mitochondrial|3-hydroxy-1-pyrroline-5-carboxylate dehydrogenase|L-1-Pyrroline-3-hydroxy-5-carboxylate:NAD+ oxidoreductase|PHCD|L-1-pyrroline-3-hydroxy-5-carboxylatedehydrogenase	NAD + 2 H2O + L-1-Pyrroline-3-hydroxy-5-carboxylate <=> H+ + NADH + 4-Hydroxy-L-glutamate	cpd00003 + 2 cpd00001 + cpd02625 <=> cpd00067 + cpd00004 + cpd01974	1.5.1.12	peg.3784|peg.322	Amino Acids and Derivatives	Blocked	R04444	HP5CD	iIT341:PHCD|iYO844:HP5CD|iND750:PHCDm	6.05	1.72	6.05	<=>	REVERSIBLE BY POINTS
rxn03075	ATP:4-methyl-5-(2-hydroxyethyl)-thiazole 2-phosphotransferase|hydroxyethylthiazole kinase|ATP:4-methyl-5-(2-hydroxyethyl)-thiazole 2-phosphotransferase|HETZK|hydroxyethylthiazolekinase	ATP + 5-(2-Hydroxyethyl)-4-methylthiazole <=> ADP + 4-Methyl-5--2-phosphoethyl-thiazole	cpd00002 + cpd02636 <=> cpd00008 + cpd02654	2.7.1.50	peg.3835	Cofactors, Vitamins, Prosthetic Groups, Pigments	Blocked	R04448	HETZK	iJR904:HETZK|iAO358:rll_417|iAF692:HETZK|iSB619:HETZK|iAF1260:HETZK|iIT341:HETZK|iAbaylyiv4:THIAZOLSYN3-RXN|iND750:HETZK|iYO844:HETZK	-4.50	0.24	-4.50	<=>	REVERSIBLE BY POINTS
rxn03080	6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)|lumazine 2,3-butanediyltransferase|riboflavin synthase|lumazine 2,3-butanediyltransferase|RBFSa|riboflavinsynthase|lumazine synthase	4--1-D-Ribitylamino-5-aminouracil + 3-4-dihydroxy-2-butanone4-phosphate <=> Phosphate + H+ + 2 H2O + 6-7-Dimethyl-8--1-D-ribityllumazine	cpd02882 + cpd11225 <=> cpd00009 + cpd00067 + 2 cpd00001 + cpd02656	2.5.1.9	peg.2329	Cofactors, Vitamins, Prosthetic Groups, Pigments	Positive variable	R04457	RBFSa	iJR904:RBFSa|iAF692:RBFSa|iSB619:RBFSa|iAF1260:RBFSa|iIT341:RBFSa|iAbaylyiv4:LUMAZINESYN-RXN|iND750:RBFSa|iYO844:RBFSa|iNJ661:RBFSa|iJN746:RBFSa	0.92	2.79	0.92	<=>	REVERSIBLE BY MM DELTAG
rxn03084	5'-Phosphoribosylformylglycinamide:L-glutamine amido-ligase|(ADP-forming)|phosphoribosylformylglycinamidine synthase|(ADP-forming)|PRFGS|phosphoribosylformylglycinamidinesynthase|phosphoribosylformylglycinamidine synthase II|phosphoribosylformylglycinamidine synthetase I	ATP + H2O + L-Glutamine + N-Formyl-GAR => ADP + Phosphate + H+ + GLU + 5'-Phosphoribosylformylglycinamidine	cpd00002 + cpd00001 + cpd00053 + cpd02678 => cpd00008 + cpd00009 + cpd00067 + cpd00023 + cpd02826	6.3.5.3	peg.647+peg.648+peg.649	Nucleosides and Nucleotides	Positive variable	R04463	PRFGS	iJR904:PRFGS|iAO358:rll_373:rll_376|iAG612:rbs_168|iAF692:PRFGS|iSB619:PRFGS|iAF1260:PRFGS|iIT341:PRFGS|iAbaylyiv4:FGAMSYN-RXN|iND750:PRFGS|iYO844:PRFGS|iNJ661:PRFGS|iJN746:PRFGS	-13.46	1.78	-17.56	=>	IRREVERSIBLE BY POINTS
rxn03086	Acetyl-L,L-diaminopimelate aminotransferase	2-Oxoglutarate + N6-Acetyl-L-2,6-diaminopimelate <=> GLU + L-2-Acetamido-6-oxopimelate	cpd00024 + cpd02685 <=> cpd00023 + cpd03289	2.6.1.-	peg.1402|peg.3143	Amino Acids and Derivatives	Negative	R04467	APTA1i	iYO844:APTA1i	0.00	2.00	0.00	<=>	REVERSIBLE BY MM DELTAG
rxn03094	Glycodeoxycholate amidohydrolase	H2O + Glycodeoxycholate <=> Gly + Deoxycholate	cpd00001 + cpd03245 <=> cpd00033 + cpd02733	3.5.1.24	peg.3959	Cofactors, Vitamins, Prosthetic Groups, Pigments	Blocked	R04486	NOT IN MODEL		-0.46	0.85	-4.56	<=>	REVERSIBLE BY POINTS
rxn03108	ATP:4-amino-2-methyl-5-phosphomethylpyrimidine phosphotransferase|phosphomethylpyrimidine kinase|ATP:4-amino-2-methyl-5-phosphomethylpyrimidine phosphotransferase|PMPK|phosphomethylpyrimidinekinase	ATP + 4-Amino-2-methyl-5-phosphomethylpyrimidine <=> ADP + 4-Amino-2-methyl-5-diphosphomethylpyrimidine	cpd00002 + cpd02775 <=> cpd00008 + cpd02894	2.7.4.7	peg.1172|peg.3807	Cofactors, Vitamins, Prosthetic Groups, Pigments	Blocked	R04509	PMPK	iJR904:PMPK|iAO358:rll_414:rll_415|iAF692:PMPK|iSB619:PMPK|iAF1260:PMPK|iIT341:PMPK|iAbaylyiv4:PYRIMSYN3-RXN|iND750:PMPK|iYO844:PMPK|iNJ661:PMPK|iJN746:PMPK	0.00	2.00	0.00	<=>	REVERSIBLE BY MM DELTAG
rxn03135	Imidazole-glycerol-3-phosphate synthase|amidotransferase|imidazole glycerol phosphate synthase	H+ + GLU + D-erythro-imidazol-glycerol-phosphate + AICAR <= L-Glutamine + phosphoribulosylformimino-AICAR-phosphate	cpd00067 + cpd00023 + cpd02843 + cpd02851 <= cpd00053 + cpd02991		peg.3493+peg.3495	Amino Acids and Derivatives	Negative variable	R04558	IG3PS	iJR904:IG3PS|iAO358:rll_194|iAG612:rbs_517|iAF692:IG3PS|iSB619:IG3PS|iAF1260:IG3PS|iAbaylyiv4:GLUTAMIDOTRANS-RXN|iND750:IG3PS|iYO844:IG3PS|iNJ661:IG3PS|iJN746:IG3PS	25.53	3.43	29.63	<=	IRREVERSIBLE BY DELTAG MINMAX
rxn03136	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole|AMP-lyase|adenylosuccinate lyase|AMP-lyase|ADSL2r|adenylosuccinatelyase	SAICAR <=> Fumarate + AICAR	cpd02921 <=> cpd00106 + cpd02851	4.3.2.2	peg.645	Nucleosides and Nucleotides	Positive variable	R04559	ADSL2r	iJR904:ADSL2r|iAO358:rll_364|iAG612:rbs_80|iAF692:ADSL2|iSB619:ADSL2r|iAF1260:ADSL2r|iIT341:ADSL2r|iAbaylyiv4:AICARSYN-RXN|iND750:ADSL2r|iYO844:ADSL2r|iNJ661:ADSL2r|iJN746:ADSL2r	7.34	0.93	3.24	<=>	REVERSIBLE BY POINTS
rxn03137	10-Formyltetrahydrofolate:5'-phosphoribosyl-5-amino-4-|imidazolecarboxamide formyltransferase|phosphoribosylaminoimidazolecarboxamide formyltransferase|imidazolecarboxamide formyltransferase|AICART|phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase|phosphoribosylaminoimidazolecarboxamideformyltransferase	10-Formyl-THF + AICAR <=> THF + FAICAR	cpd00201 + cpd02851 <=> cpd00087 + cpd02884	2.1.2.3	peg.653	Nucleosides and Nucleotides	Positive variable	R04560	AICART	iJR904:AICART|iAO358:rll_370|iAG612:rbs_9|iAF692:AICART|iSB619:AICART|iAF1260:AICART|iIT341:AICART|iAbaylyiv4:AICARTRANSFORM-RXN|iND750:AICART|iYO844:AICART|iNJ661:AICART|iJN746:AICART	-5.44	1.57	-5.44	<=>	REVERSIBLE BY POINTS
rxn03147	1-(5-Phosphoribosyl)-5-amino-4-carboxyimidazole:L-aspartate ligase|(ADP-forming)|phosphoribosylaminoimidazolesuccinocarboxamide synthase|(ADP-forming)|PRASCS|phosphoribosylaminoimidazolesuccinocarboxamidesynthase|phosphoribosylaminoimidazole-succinocarboxamide synthase|phosphoribosylaminoimidazole-succinocarboxamide synthetase	ATP + Aspartate + 5'-Phosphoribosyl-4-carboxy-5-aminoimidazole => ADP + Phosphate + 2 H+ + SAICAR	cpd00002 + cpd00041 + cpd02893 => cpd00008 + cpd00009 + 2 cpd00067 + cpd02921	6.3.2.6	peg.646	Nucleosides and Nucleotides	Positive variable	R04591	PRASCS	iJR904:PRASCS|iAO358:rll_366|iAG612:rbs_165|iAF692:PRASCS|iSB619:PRASCS|iAF1260:PRASCS|iIT341:PRASCS|iAbaylyiv4:SAICARSYN-RXN|iND750:PRASCS|iYO844:PRASCS|iNJ661:PRASCS|iJN746:PRASCS	-16.08	1.46	-16.08	=>	IRREVERSIBLE BY POINTS
rxn03164	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-|diaminoheptanedioate:D-alanyl-D-alanine ligase(ADP-forming)|UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine synthetase|diaminoheptanedioate:D-alanyl-D-alanine ligase(ADP-forming)|UGMDDS|UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alaninesynthetase|udp-n-acetylmuramoylalanyl-d-glutamyl-2,6-diaminopimelate--d-alanyl- d-alanine ligase	ATP + UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate + D-Ala-D-Ala => ADP + Phosphate + H+ + UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl- D-alanine	cpd00002 + cpd02964 + cpd00731 => cpd00008 + cpd00009 + cpd00067 + cpd02968	6.3.2.10|6.3.2.15	peg.457	Cell Wall and Capsule	Positive	R04617	UGMDDS	iIT341:UGMDDS|iJR904:UGMDDS|iAbaylyiv4:UDP-NACMURALGLDAPAALIG-RXN|iYO844:UGMDDS|iNJ661:UGMDDS|iSB619:UGMDDS|iAF1260:UGMDDS|iJN746:UGMDDS	-6.35	0.86	-6.35	=>	IRREVERSIBLE BY POINTS
rxn03167	2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)|dihydropteridine triphosphate phosphohydrolase (alkaline optimum)|alkaline phosphatase (Dihydroneopterin)	3 H2O + 7,8-Dihydroneopterin 3'-triphosphate => 3 Phosphate + 3 H+ + Dihydroneopterin	3 cpd00001 + cpd02978 => 3 cpd00009 + 3 cpd00067 + cpd02961	3.1.3.1	peg.574|peg.941	Cofactors, Vitamins, Prosthetic Groups, Pigments	Positive variable	R04620	AKP1	iAO358:rll_610|iAF692:AKP1|iYO844:AKP1|iND750:AKP1|iSB619:AKP1	-15.95	2.14	-28.25	=>	IRREVERSIBLE BY DELTAG MINMAX
rxn03175	N-(5'-Phospho-D-ribosylformimino)-5-amino-1-|(5''-phospho-D-ribosyl)-4-imidazolecarboxamide ketol-isomerase|1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase|1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase (irreversible)|n-(5'-phospho-d-ribosylformimino)-5-amino-1-(5''-phosphoribosyl)-4- imidazole carboxamide isomerase|phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase	phosphoribosylformiminoaicar-phosphate <=> phosphoribulosylformimino-AICAR-phosphate	cpd02979 <=> cpd02991	5.3.1.16	peg.3494	Amino Acids and Derivatives	Positive variable	R04640	PRMICI	iJR904:PRMICIi|iAO358:rll_189|iAG612:rbs_516|iAF692:PRMICIi|iSB619:PRMICIi|iAF1260:PRMICI|iAbaylyiv4:PRIBFAICARPISOM-RXN|iND750:PRMICIi|iYO844:PRMICI|iNJ661:PRMICIi|iJN746:PRMICIi	0.62	1.30	0.62	<=>	REVERSIBLE BY MM DELTAG
rxn03194	(S)-2-Aceto-2-hydroxybutanoate pyruvate-lyase (carboxylating)	2-Hydroxyethyl-ThPP + 2-Oxobutyrate <=> TPP + 2-Aceto-2-hydroxybutanoate	cpd03049 + cpd00094 <=> cpd00056 + cpd00498	2.2.1.6	peg.2833+peg.2834	Amino Acids and Derivatives	Positive variable	R04673	NOT IN MODEL		-3.66	0.60	-3.66	<=>	REVERSIBLE BY POINTS
rxn03239	(S)-3-Hydroxyhexadecanoyl-CoA:NAD+ oxidoreductase|3-hydroxyacyl-CoA dehydrogenase (3-oxohexadecanoyl-CoA)|3-hydroxyacyl-CoA dehydrogenase (3-oxohexadecanoyl-CoA), peroxisomal|hydroxyacyl-coa dehydrogenase (c16:0)	NAD + (S)-3-Hydroxyhexadecanoyl-CoA <=> H+ + NADH + 3-Oxopalmitoyl-CoA	cpd00003 + cpd03113 <=> cpd00067 + cpd00004 + cpd03114	1.1.1.35|1.1.1.211	peg.3289	Fatty Acids and Lipids	Negative variable	R04737	HACD7	iAbaylyiv4:C16:0-3HYDROXYCOA-DEHYDROGENASE-RXN|iYO844:HACD7|iND750:HACD7p|iSB619:HACD7|iAF1260:HACD7i|iJN746:HACD7i	3.76	1.08	3.76	<=>	REVERSIBLE BY POINTS
rxn03240	(S)-3-Hydroxyhexadecanoyl-CoA hydro-lyase|3-hydroxyacyl-CoA dehydratase (3-hydroxyhexadecanoyl-CoA)|3-hydroxyacyl-CoA dehydratase (3-hydroxyhexadecanoyl-CoA), peroxisomal|enoyl-coa hydratase (c16:0)	(S)-3-Hydroxyhexadecanoyl-CoA <=> H2O + (2E)-Hexadecenoyl-CoA	cpd03113 <=> cpd00001 + cpd03126	4.2.1.17|4.2.1.74	peg.1719|peg.2857	Fatty Acids and Lipids	Positive variable	R04738	ECOAH7	iAbaylyiv4:C16:0-2ENOYLCOA-HYDRATASE-RXN|iYO844:ECOAH7|iND750:ECOAH7p|iSB619:ECOAH7|iAF1260:ECOAH7|iJN746:ECOAH7	2.16	0.77	2.16	<=>	REVERSIBLE BY POINTS
rxn03241	(S)-3-Hydroxytetradecanoyl-CoA hydro-lyase|3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanoyl-CoA)|3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanoyl-CoA), peroxisomal	(S)-3-Hydroxytetradecanoyl-CoA <=> H2O + (2E)-Tetradecenoyl-CoA	cpd03115 <=> cpd00001 + cpd03127	4.2.1.17|4.2.1.74	peg.1719|peg.2857	Fatty Acids and Lipids	Positive variable	R04740	ECOAH6	iYO844:ECOAH6|iND750:ECOAH6p|iSB619:ECOAH6|iAF1260:ECOAH6|iJN746:ECOAH6	2.16	0.77	2.16	<=>	REVERSIBLE BY POINTS
rxn03242	(S)-3-Hydroxydodecanoyl-CoA:NAD+ oxidoreductase|3-hydroxyacyl-CoA dehydrogenase (3-oxododecanoyl-CoA)|3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA), peroxisomal|(S)-3-hydroxydodecanoyl-CoA:NAD+ oxidoreductase|3oxoacyl-coa thiolase (c10:0)	NAD + (S)-3-Hydroxydodecanoyl-CoA <=> H+ + NADH + 3-Oxododecanoyl-CoA	cpd00003 + cpd03116 <=> cpd00067 + cpd00004 + cpd03117	1.1.1.35|1.1.1.211	peg.3289	Carbohydrates	Negative variable	R04741	HACD5	iAbaylyiv4:C12:0-3HYDROXYCOA-DEHYDROGENASE-RXN|iYO844:HACD5|iND750:HACD5p|iSB619:HACD5|iAF1260:HACD5i|iJN746:HACD5i	3.76	1.08	3.76	<=>	REVERSIBLE BY POINTS
rxn03243	Decanoyl-CoA:acetyl-CoA C-acyltransferase|3-ketoacyl-CoA thiolase|acetyl-CoA C-acyltransferase (decanoyl-CoA), peroxisomal|acetyl-CoA C-acyltransferase (decanoyl-CoA)|Decanoyl-CoA:acetyl-CoA C-acyltransferase|acetyl-CoA C-acyltransferase (decanoyl-CoA) (r)|3oxoacyl-coa thiolase (c12:0)	Acetyl-CoA + Decanoyl-CoA <=> CoA + 3-Oxododecanoyl-CoA	cpd00022 + cpd03128 <=> cpd00010 + cpd03117	2.3.1.16	peg.3288|peg.1035|peg.2421	Fatty Acids and Lipids	Positive variable	R04742	ACACT5r	iAbaylyiv4:C12:0-3OXOCOA-THIOLASE-RXN|iYO844:ACACT5r|iND750:ACACT5p|iSB619:ACACT5r|iAF1260:KAT5|iJN746:KAT5	7.06	1.09	7.06	<=>	REVERSIBLE BY POINT DELTAG CONFLICT
rxn03244	(S)-Hydroxydecanoyl-CoA:NAD+ oxidoreductase|3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA)|3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA), peroxisomal|(S)-hydroxydecanoyl-CoA:NAD+ oxidoreductase|hydroxyacyl-coa dehydrogenase (c10:0)	NAD + (S)-Hydroxydecanoyl-CoA <=> H+ + NADH + 3-Oxodecanoyl-CoA	cpd00003 + cpd03118 <=> cpd00067 + cpd00004 + cpd03119	1.1.1.35|1.1.1.211	peg.3289	Fatty Acids and Lipids	Negative variable	R04743	HACD4	iAbaylyiv4:C10:0-3HYDROXYCOA-DEHYDROGENASE-RXN|iYO844:HACD4|iND750:HACD4p|iSB619:HACD4|iAF1260:HACD4i|iJN746:HACD4i	3.76	1.08	3.76	<=>	REVERSIBLE BY POINTS
rxn03245	(S)-Hydroxydecanoyl-CoA hydro-lyase|3-hydroxyacyl-CoA dehydratase (3-hydroxydecanoyl-CoA)|3-hydroxyacyl-CoA dehydratase (3-hydroxydecanoyl-CoA), peroxisomal|enoyl-coa hydratase (c10:0)	(S)-Hydroxydecanoyl-CoA <=> H2O + (2E)-Decenoyl-CoA	cpd03118 <=> cpd00001 + cpd03129	4.2.1.17|4.2.1.74	peg.1719|peg.2857	Fatty Acids and Lipids	Positive variable	R04744	ECOAH4	iAbaylyiv4:C10:0-2ENOYLCOA-HYDRATASE-RXN|iYO844:ECOAH4|iND750:ECOAH4p|iSB619:ECOAH4|iAF1260:ECOAH4|iJN746:ECOAH4	2.16	0.77	2.16	<=>	REVERSIBLE BY POINTS
rxn03246	(S)-Hydroxyoctanoyl-CoA:NAD+ oxidoreductase|3-hydroxyacyl-CoA dehydrogenase (3-oxooctanoyl-CoA)|(S)-hydroxyoctanoyl-CoA:NAD+ oxidoreductase|hydroxyacyl-coa dehydrogenase (c8:0)	NAD + (S)-Hydroxyoctanoyl-CoA <=> H+ + NADH + 3-Oxooctanoyl-CoA	cpd00003 + cpd03120 <=> cpd00067 + cpd00004 + cpd03121	1.1.1.35|1.1.1.211	peg.3289	Fatty Acids and Lipids	Negative variable	R04745	HACD3	iAbaylyiv4:C8:0-3HYDROXYCOA-DEHYDROGENASE-RXN|iYO844:HACD3|iSB619:HACD3|iAF1260:HACD3i|iJN746:HACD3i	3.76	1.08	3.76	<=>	REVERSIBLE BY POINTS
rxn03247	(S)-Hydroxyoctanoyl-CoA hydro-lyase|3-hydroxyacyl-CoA dehydratase (3-hydroxyoctanoyl-CoA)|enoyl-coa hydratase (c8:0)	(S)-Hydroxyoctanoyl-CoA <=> H2O + (2E)-Octenoyl-CoA	cpd03120 <=> cpd00001 + cpd03130	4.2.1.17|4.2.1.74	peg.1719|peg.2857	Fatty Acids and Lipids	Positive variable	R04746	ECOAH3	iAbaylyiv4:C8:0-2ENOYLCOA-HYDRATASE-RXN|iYO844:ECOAH3|iSB619:ECOAH3|iAF1260:ECOAH3|iJN746:ECOAH3	2.16	0.77	2.16	<=>	REVERSIBLE BY POINTS
rxn03248	Hexanoyl-CoA:acetyl-CoA C-acyltransferase|3-ketoacyl-CoA thiolase|acetyl-CoA C-acyltransferase (hexanoyl-CoA)|Hexanoyl-CoA:acetyl-CoA C-acyltransferase|acetyl-CoA C-acyltransferase (hexanoyl-CoA) (r)|3oxoacyl-coa thiolase (c8:0)	Acetyl-CoA + Hexanoyl-CoA <=> CoA + 3-Oxooctanoyl-CoA	cpd00022 + cpd03124 <=> cpd00010 + cpd03121	2.3.1.16	peg.3288|peg.1035|peg.2421	Fatty Acids and Lipids	Positive variable	R04747	ACACT3r	iAbaylyiv4:C8:0-3OXOCOA-THIOLASE-RXN|iYO844:ACACT3r|iSB619:ACACT3r|iAF1260:KAT3	7.06	1.09	7.06	<=>	REVERSIBLE BY POINT DELTAG CONFLICT
rxn03249	(S)-Hydroxyhexanoyl-CoA:NAD+ oxidoreductase|3-hydroxyacyl-CoA dehydrogenase (3-oxohexanoyl-CoA)|(S)-hydroxyhexanoyl-CoA:NAD+ oxidoreductase|hydroxyacyl-coa dehydrogenase (c6:0)	NAD + (S)-Hydroxyhexanoyl-CoA <=> H+ + NADH + 3-Oxohexanoyl-CoA	cpd00003 + cpd03122 <=> cpd00067 + cpd00004 + cpd03123	1.1.1.35|1.1.1.211	peg.3289	Fatty Acids and Lipids	Negative variable	R04748	HACD2	iAbaylyiv4:C6:0-3HYDROXYCOA-DEHYDROGENASE-RXN|iYO844:HACD2|iSB619:HACD2|iAF1260:HACD2i|iJN746:HACD2i	3.76	1.08	3.76	<=>	REVERSIBLE BY POINTS
rxn03250	(S)-Hydroxyhexanoyl-CoA hydro-lyase|3-hydroxyacyl-CoA dehydratase (3-hydroxyhexanoyl-CoA)|enoyl-coa hydratase (c6:0)	(S)-Hydroxyhexanoyl-CoA <=> H2O + (2E)-Hexenoyl-CoA	cpd03122 <=> cpd00001 + cpd03125	4.2.1.17|4.2.1.74	peg.1719|peg.2857	Fatty Acids and Lipids	Positive variable	R04749	ECOAH2	iAbaylyiv4:C6:0-2ENOYLCOA-HYDRATASE-RXN|iYO844:ECOAH2|iSB619:ECOAH2|iAF1260:ECOAH2|iJN746:ECOAH2	2.16	0.77	2.16	<=>	REVERSIBLE BY POINTS
rxn03393	Octaprenyl-hydroxybenzoate decarboxylase|OPHBDC|Octaprenyl-hydroxybenzoatedecarboxylase|octaprenyl-hydroxybenzoate decarboxylase	H+ + 3-Octaprenyl-4-hydroxybenzoate => CO2 + 2-Octaprenylphenol	cpd00067 + cpd03443 => cpd00011 + cpd03444	4.1.1.-	peg.364	Metabolism of Aromatic Compounds	Blocked	R04986	NOT IN MODEL	iIT341:OPHBDC|iJR904:OPHBDC|iAbaylyiv4:3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN|iAF1260:OPHBDC	-0.10	0.66	-5.56	=>	IRREVERSIBLE BY POINTS
rxn03406	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-|L-alanyl-D-glutamyl-L-lysyl-D-alanyl-D-alanine:ammonia ligase|(ADP-forming)|(ADP-forming)|glutamine synthetase (uaaAgld)	ATP + NH3 + Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-L-lysyl-D-alanyl-D-alanine => ADP + Phosphate + H+ + Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutaminyl-L-lysyl-D-alanyl-D-alanine	cpd00002 + cpd00013 + cpd03487 => cpd00008 + cpd00009 + cpd00067 + cpd03488	6.3.1.2	peg.1750	Cell Wall and Capsule	Blocked	R05028	NOT IN MODEL	iNJ661:GLNSP1	-2.09	0.89	-2.09	=>	IRREVERSIBLE BY POINTS
